season,week,spearman_mean,spearman_std,spearman_p05,spearman_p95,kendall_mean,kendall_std,kendall_p05,kendall_p95
28,3,0.9576787878787878,0.029636612907314452,0.9030303030303028,0.9878787878787878,0.8815288888888888,0.06420315470164348,0.7777777777777778,0.9555555555555556
28,4,0.9133916120640156,0.050708358935922355,0.8181818181818182,0.9878787878787878,0.8120222222222223,0.08313879126658452,0.6666666666666666,0.9555555555555556
28,5,0.9444916666666666,0.042058512682584634,0.8666666666666667,1.0,0.8652444444444445,0.07777898106340236,0.7222222222222222,1.0
28,6,0.7660053105253867,0.11636782911052308,0.53854022639685,0.9193570532194486,0.6165416666666667,0.11838319254637548,0.4166666666666667,0.8055555555555556
28,7,0.8643301089599496,0.07613795394030393,0.7185757571479554,0.9578313253012046,0.7113428571428572,0.10712922538877724,0.5357142857142857,0.8571428571428571
28,8,0.8934565138475202,0.048007919746247824,0.792824967172092,0.9369749612033814,0.7623047619047618,0.08352545341964797,0.5714285714285714,0.8571428571428571
28,9,0.9245428571428572,0.08391240115669621,0.7714285714285715,1.0,0.8613733333333333,0.12652019260147176,0.6,1.0
28,10,0.9046970350278645,0.09909508435201654,0.7,0.9999999999999999,0.82836,0.14859313036556968,0.6,1.0
28,11,0.6512,0.36259027451204057,-0.19999999999999998,1.0,0.5656,0.35696007222156834,0.0,1.0
29,1,0.9299110714285712,0.03313000157668049,0.8714285714285712,0.9785714285714284,0.821512380952381,0.0575489332611059,0.7323809523809532,0.9047619047619048
29,2,0.9077067263214973,0.0395972288908798,0.8382487708245737,0.9678571428571429,0.7821171428571428,0.06385232234479007,0.6761904761904762,0.8857142857142857
29,3,0.9575126896779086,0.023951558987713874,0.9120879120879121,0.9868131868131869,0.8706648351648352,0.04970850416191734,0.7802197802197802,0.9560439560439561
29,4,0.8895788012239197,0.04638584088686502,0.8076923076923077,0.9601109495518729,0.7462,0.07618586735901899,0.6153846153846154,0.8717948717948718
29,5,0.9161564450635465,0.040674653548328686,0.8511396590310907,0.9790209790209792,0.8078363636363636,0.06926558535687984,0.696969696969697,0.9242424242424242
29,6,0.9221664208697613,0.042276903165785945,0.8428267880196796,0.9795014022931412,0.8057618181818182,0.07307347068989131,0.6909090909090909,0.9090909090909091
29,7,0.8798433809757633,0.07774727050587647,0.7333333333333332,0.9757575757575757,0.7689444444444444,0.10084471158407037,0.6,0.9111111111111111
29,8,0.8764083343385071,0.05615724729613185,0.7807200583588266,0.9572173526639411,0.7180607142857143,0.082124658509118,0.5714285714285714,0.8571428571428571
29,9,0.9084545842007399,0.07592251608192864,0.7387687194103584,0.991031208965115,0.7988,0.11282646101555072,0.5714285714285714,0.9523809523809523
29,10,0.796166301267402,0.14996774830273757,0.5217939320872036,0.9856107606091623,0.6442933333333334,0.1794844155382231,0.3333333333333333,0.9333333333333333
29,11,0.51974,0.3707506952222744,-0.19999999999999998,1.0,0.4326333333333333,0.36238006098228737,0.0,1.0
30,1,0.9473303571428571,0.027049482264747973,0.8964285714285712,0.982142857142857,0.8495352380952381,0.05137777809417117,0.7714285714285715,0.9238095238095239
30,2,0.9667404695385924,0.0170244530722572,0.9357142857142854,0.9892857142857142,0.8892914285714285,0.04230704951877452,0.8095238095238095,0.9619047619047619
30,3,0.9122807119483516,0.037158177837700784,0.8436143812595929,0.9647600495866885,0.7750571428571429,0.0626403867341394,0.6703296703296703,0.8681318681318682
30,4,0.9606003485699315,0.023217986178619893,0.9160944017214147,0.990358126721763,0.8716717948717949,0.04957512296784015,0.782051282051282,0.9487179487179487
30,5,0.9244596840775549,0.03707170879051722,0.8564942494470258,0.9795014022931412,0.8143090909090909,0.06361780322974094,0.7090909090909091,0.9090909090909091
30,6,0.9471405454244044,0.03093727346635474,0.8909090909090909,0.9878787878787878,0.8504111111111111,0.06509201743770444,0.7333333333333333,0.9555555555555556
30,7,0.9463489770326708,0.03272013933371496,0.8833333333333333,1.0,0.8635611111111111,0.07091592422062454,0.7222222222222222,1.0
30,8,0.9244343819751614,0.054249667912966947,0.8263621207201486,0.9940297973880049,0.8288392857142857,0.08880198963142394,0.6785714285714286,0.9642857142857143
