season,week,n_active,n_eliminated,eliminated_names,feasible,n_samples,margin_mean,margin_p05,margin_p50,predicted_eliminated_names,actual_eliminated_names,match
15,3,11,2,Helio Castroneves;Drew Lachey,True,2000,0.0102292942699239,0.0005772950780562,0.0075689511033558,Drew Lachey;Helio Castroneves,Helio Castroneves;Drew Lachey,True
15,4,9,1,Bristol Palin,True,2000,0.0162176645965415,0.0011663884884467,0.0131084850889424,Bristol Palin,Bristol Palin,True
15,5,8,0,,True,2000,,,,,,NA
15,6,8,1,Sabrina Bryan,True,2000,0.0180791115102387,0.0009886674056508,0.014078616589267,Sabrina Bryan,Sabrina Bryan,True
15,7,7,0,,True,2000,,,,,,NA
15,8,7,2,Gilles Marini;Kirstie Alley,True,2000,0.028859196174648,0.001636816463913,0.0208728801328454,Kirstie Alley;Gilles Marini,Gilles Marini;Kirstie Alley,True
15,9,5,2,Apolo Anton Ohno;Emmitt Smith,True,2000,0.0697882339639273,0.0040611995880304,0.0573824857028827,Emmitt Smith;Apolo Anton Ohno,Apolo Anton Ohno;Emmitt Smith,True
15,10,3,0,,True,2000,,,,,,NA
16,1,12,0,,True,2000,,,,,,NA
16,2,12,1,Dorothy Hamill,True,2000,0.0158259079413317,0.0015011064073051,0.0136994544994017,Dorothy Hamill,Dorothy Hamill,True
16,3,11,1,Wynonna Judd,True,2000,0.0203270054147661,0.0019998088434175,0.0185801748823754,Wynonna Judd,Wynonna Judd,True
16,4,10,1,Lisa Vanderpump,True,2000,0.0205671454512938,0.001590103258052,0.0183264393703975,Lisa Vanderpump,Lisa Vanderpump,True
16,5,9,1,D. L. Hughley,True,2000,0.0232033841507696,0.0015077640477895,0.0203719424917256,D. L. Hughley,D. L. Hughley,True
16,6,8,1,Victor Ortiz,True,2000,0.0248292635994695,0.0020086219763036,0.0212541964410449,Victor Ortiz,Victor Ortiz,True
16,7,7,1,Andy Dick,True,2000,0.0485566775458223,0.0053958125797512,0.044521500023368,Andy Dick,Andy Dick,True
16,8,6,1,Sean Lowe,True,2000,0.0485514171001817,0.0046941783554041,0.0421535309894386,Sean Lowe,Sean Lowe,True
16,9,5,1,Ingo Rademacher,True,2000,0.0610387066483726,0.0044624127444525,0.0505442121285427,Ingo Rademacher,Ingo Rademacher,True
16,10,4,0,,True,2000,,,,,,NA
17,1,12,0,,True,2000,,,,,,NA
17,2,12,1,Keyshawn Johnson,True,2000,0.0152871904186441,0.0012417851339553,0.0135061367241077,Keyshawn Johnson,Keyshawn Johnson,True
17,3,11,1,Bill Nye,True,2000,0.0229794713077352,0.0028481834826993,0.0219885841574837,Bill Nye,Bill Nye,True
17,4,10,1,Valerie Harper,True,2000,0.021749971176872,0.002561244503852,0.0197209103184638,Valerie Harper,Valerie Harper,True
17,5,9,1,Christina Milian,True,2000,0.012810946283174,0.0007306492469292,0.0094345219494595,Christina Milian,Christina Milian,True
17,6,8,0,,True,2000,,,,,,NA
17,7,8,1,"Nicole ""Snooki"" Polizzi",True,2000,0.0169813804573813,0.0009760193994615,0.0125829928483596,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",True
17,8,7,1,Brant Daugherty,True,2000,0.0244072205877347,0.0017211512475699,0.019661147923102,Brant Daugherty,Brant Daugherty,True
17,9,6,1,Elizabeth Berkley Lauren,True,2000,0.0326092165156772,0.0020448365924622,0.0259375841155861,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True
17,10,5,1,Leah Remini,True,2000,0.0558335782913717,0.0048714855431617,0.0458753983979789,Leah Remini,Leah Remini,True
17,11,4,0,,True,2000,,,,,,NA
18,1,12,1,Diana Nyad,True,2000,0.0138940765716225,0.001210598681857,0.0119841386173299,Diana Nyad,Diana Nyad,True
18,2,11,2,Billy Dee Williams;Sean Avery,True,2000,0.0135389205603171,0.0009416119991733,0.0110907754744005,Billy Dee Williams;Sean Avery,Billy Dee Williams;Sean Avery,True
18,3,9,0,,True,2000,,,,,,NA
18,4,9,0,,True,2000,,,,,,NA
18,5,9,1,Cody Simpson,True,2000,0.0168539414437298,0.0010405116653244,0.0135577297061894,Cody Simpson,Cody Simpson,True
