season,week,contestant_id,celebrity_name,ballroom_partner,predicted_elim_prob
30,2,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0
30,2,5,Suni Lee,Sasha Farber,0.0
30,2,6,Iman Shumpert,Daniella Karagach,0.0
30,2,7,Cody Rigsby,Cheryl Burke,0.0
30,2,8,Melanie C,Gleb Savchenko,0.0
30,2,9,Jimmie Allen,Emma Slater,0.0
30,2,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,2,11,JoJo Siwa,Jenna Johnson,0.0
30,2,12,Christine Chiu,Pasha Pashkov,0.0
30,2,13,Kenya Moore,Brandon Armstrong,0.0
30,2,14,Amanda Kloots,Alan Bersten,0.0
30,3,1,Brian Austin Green,Sharna Burgess,0.1258
30,3,2,Melora Hardin,Artem Chigvintsev,0.0
30,3,3,Matt James,Lindsay Arnold,0.009
30,3,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0
30,3,5,Suni Lee,Sasha Farber,0.0002
30,3,6,Iman Shumpert,Daniella Karagach,0.116
30,3,7,Cody Rigsby,Cheryl Burke,0.741
30,3,8,Melanie C,Gleb Savchenko,0.0
30,3,9,Jimmie Allen,Emma Slater,0.0076
30,3,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,3,11,JoJo Siwa,Jenna Johnson,0.0
30,3,12,Christine Chiu,Pasha Pashkov,0.0026
30,3,13,Kenya Moore,Brandon Armstrong,0.0004
30,3,14,Amanda Kloots,Alan Bersten,0.0
30,4,1,Brian Austin Green,Sharna Burgess,1.0
30,4,2,Melora Hardin,Artem Chigvintsev,0.0
30,4,3,Matt James,Lindsay Arnold,0.8992
30,4,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0
30,4,5,Suni Lee,Sasha Farber,0.0
30,4,6,Iman Shumpert,Daniella Karagach,0.0002
30,4,7,Cody Rigsby,Cheryl Burke,0.2644
30,4,8,Melanie C,Gleb Savchenko,0.0
30,4,9,Jimmie Allen,Emma Slater,0.0
30,4,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,4,11,JoJo Siwa,Jenna Johnson,0.0
30,4,13,Kenya Moore,Brandon Armstrong,0.0974
30,4,14,Amanda Kloots,Alan Bersten,0.0
30,5,2,Melora Hardin,Artem Chigvintsev,0.0
30,5,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0
30,5,5,Suni Lee,Sasha Farber,0.0
30,5,6,Iman Shumpert,Daniella Karagach,1.0
30,5,7,Cody Rigsby,Cheryl Burke,0.0
30,5,8,Melanie C,Gleb Savchenko,0.0
30,5,9,Jimmie Allen,Emma Slater,0.0
30,5,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,5,11,JoJo Siwa,Jenna Johnson,0.0
30,5,13,Kenya Moore,Brandon Armstrong,0.0
30,5,14,Amanda Kloots,Alan Bersten,0.0
30,6,2,Melora Hardin,Artem Chigvintsev,0.0194
30,6,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0196
30,6,5,Suni Lee,Sasha Farber,0.0
30,6,6,Iman Shumpert,Daniella Karagach,0.0
30,6,7,Cody Rigsby,Cheryl Burke,0.0
30,6,9,Jimmie Allen,Emma Slater,0.0
30,6,10,Olivia Jade,Valentin Chmerkovskiy,0.0002
30,6,11,JoJo Siwa,Jenna Johnson,0.0
30,6,13,Kenya Moore,Brandon Armstrong,0.9964
30,6,14,Amanda Kloots,Alan Bersten,0.0
30,7,2,Melora Hardin,Artem Chigvintsev,0.0
30,7,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.9886
30,7,5,Suni Lee,Sasha Farber,0.0184
30,7,6,Iman Shumpert,Daniella Karagach,0.0202
30,7,7,Cody Rigsby,Cheryl Burke,0.0
30,7,9,Jimmie Allen,Emma Slater,0.0
30,7,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,7,11,JoJo Siwa,Jenna Johnson,0.0
30,7,14,Amanda Kloots,Alan Bersten,0.018
30,8,2,Melora Hardin,Artem Chigvintsev,0.0
30,8,5,Suni Lee,Sasha Farber,0.0
30,8,6,Iman Shumpert,Daniella Karagach,0.84
30,8,7,Cody Rigsby,Cheryl Burke,0.0004
30,8,9,Jimmie Allen,Emma Slater,1.0
30,8,10,Olivia Jade,Valentin Chmerkovskiy,0.9734
30,8,11,JoJo Siwa,Jenna Johnson,0.0
30,8,14,Amanda Kloots,Alan Bersten,0.0
30,9,2,Melora Hardin,Artem Chigvintsev,0.9428
30,9,5,Suni Lee,Sasha Farber,0.2136
30,9,6,Iman Shumpert,Daniella Karagach,0.0202
30,9,7,Cody Rigsby,Cheryl Burke,0.965
30,9,11,JoJo Siwa,Jenna Johnson,0.0
30,9,14,Amanda Kloots,Alan Bersten,0.0
30,10,6,Iman Shumpert,Daniella Karagach,0.0
30,10,7,Cody Rigsby,Cheryl Burke,0.0
30,10,11,JoJo Siwa,Jenna Johnson,0.0
30,10,14,Amanda Kloots,Alan Bersten,0.0
31,1,0,Jason Lewis,Peta Murgatroyd,0.9414
31,1,1,Cheryl Ladd,Louis van Amstel,0.0
31,1,2,Selma Blair,Sasha Farber,0.0
31,1,3,Joseph Baena,Daniella Karagach,0.0
31,1,4,Trevor Donovan,Emma Slater,0.0
31,1,5,Daniel Durant,Britt Stewart,0.0
31,1,6,Wayne Brady,Witney Carson,0.0
31,1,7,Sam Champion,Cheryl Burke,0.0006
31,1,8,Jessie James Decker,Alan Bersten,0.0012
31,1,9,Jordin Sparks,Brandon Armstrong,0.0
31,1,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,1,11,Charli D'Amelio,Mark Ballas,0.0
31,1,12,Teresa Giudice,Pasha Pashkov,0.0004
31,1,13,Vinny Guadagnino,Koko Iwasaki,0.8472
31,1,14,Shangela,Gleb Savchenko,0.0
31,1,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,2,1,Cheryl Ladd,Louis van Amstel,0.978
31,2,2,Selma Blair,Sasha Farber,0.0
31,2,3,Joseph Baena,Daniella Karagach,0.0014
31,2,4,Trevor Donovan,Emma Slater,0.0
31,2,5,Daniel Durant,Britt Stewart,0.0
31,2,6,Wayne Brady,Witney Carson,0.0
31,2,7,Sam Champion,Cheryl Burke,0.0
31,2,8,Jessie James Decker,Alan Bersten,0.0
31,2,9,Jordin Sparks,Brandon Armstrong,0.0
31,2,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,2,11,Charli D'Amelio,Mark Ballas,0.0
31,2,12,Teresa Giudice,Pasha Pashkov,0.8376
31,2,13,Vinny Guadagnino,Koko Iwasaki,0.0
31,2,14,Shangela,Gleb Savchenko,0.0
31,2,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,3,1,Cheryl Ladd,Louis van Amstel,0.84
31,3,2,Selma Blair,Sasha Farber,0.0
31,3,3,Joseph Baena,Daniella Karagach,0.0
31,3,4,Trevor Donovan,Emma Slater,0.0
31,3,5,Daniel Durant,Britt Stewart,0.0
31,3,6,Wayne Brady,Witney Carson,0.0
31,3,7,Sam Champion,Cheryl Burke,0.0134
31,3,8,Jessie James Decker,Alan Bersten,0.0006
31,3,9,Jordin Sparks,Brandon Armstrong,0.0
31,3,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,3,11,Charli D'Amelio,Mark Ballas,0.0
31,3,13,Vinny Guadagnino,Koko Iwasaki,0.835
31,3,14,Shangela,Gleb Savchenko,0.0
31,3,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,4,2,Selma Blair,Sasha Farber,0.0
31,4,3,Joseph Baena,Daniella Karagach,0.0016
31,4,4,Trevor Donovan,Emma Slater,0.0008
31,4,5,Daniel Durant,Britt Stewart,0.0
31,4,6,Wayne Brady,Witney Carson,0.0
31,4,7,Sam Champion,Cheryl Burke,1.0
31,4,8,Jessie James Decker,Alan Bersten,0.0
31,4,9,Jordin Sparks,Brandon Armstrong,0.0
31,4,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,4,11,Charli D'Amelio,Mark Ballas,0.0
31,4,13,Vinny Guadagnino,Koko Iwasaki,0.0
31,4,14,Shangela,Gleb Savchenko,0.0
31,4,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,5,2,Selma Blair,Sasha Farber,0.0
31,5,3,Joseph Baena,Daniella Karagach,0.0638
31,5,4,Trevor Donovan,Emma Slater,0.0
31,5,5,Daniel Durant,Britt Stewart,0.005
31,5,6,Wayne Brady,Witney Carson,0.0
31,5,8,Jessie James Decker,Alan Bersten,0.0
31,5,9,Jordin Sparks,Brandon Armstrong,0.0
31,5,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,5,11,Charli D'Amelio,Mark Ballas,0.0
31,5,13,Vinny Guadagnino,Koko Iwasaki,0.995
31,5,14,Shangela,Gleb Savchenko,0.0
31,5,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,6,4,Trevor Donovan,Emma Slater,0.0
31,6,5,Daniel Durant,Britt Stewart,0.0
31,6,6,Wayne Brady,Witney Carson,0.0
31,6,8,Jessie James Decker,Alan Bersten,0.9288
31,6,9,Jordin Sparks,Brandon Armstrong,0.0
31,6,10,Heidi D'Amelio,Artem Chigvintsev,0.0
31,6,11,Charli D'Amelio,Mark Ballas,0.0
31,6,13,Vinny Guadagnino,Koko Iwasaki,1.0
31,6,14,Shangela,Gleb Savchenko,0.0
31,6,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,7,4,Trevor Donovan,Emma Slater,0.0
31,7,5,Daniel Durant,Britt Stewart,0.0
31,7,6,Wayne Brady,Witney Carson,0.0
31,7,9,Jordin Sparks,Brandon Armstrong,0.6318
31,7,10,Heidi D'Amelio,Artem Chigvintsev,0.0004
31,7,11,Charli D'Amelio,Mark Ballas,0.0
31,7,13,Vinny Guadagnino,Koko Iwasaki,0.9982
31,7,14,Shangela,Gleb Savchenko,0.0
31,7,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,8,4,Trevor Donovan,Emma Slater,0.0
31,8,5,Daniel Durant,Britt Stewart,0.0
31,8,6,Wayne Brady,Witney Carson,0.0
31,8,10,Heidi D'Amelio,Artem Chigvintsev,1.0
31,8,11,Charli D'Amelio,Mark Ballas,0.0
31,8,13,Vinny Guadagnino,Koko Iwasaki,1.0
31,8,14,Shangela,Gleb Savchenko,0.0
31,8,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,9,4,Trevor Donovan,Emma Slater,1.0
31,9,5,Daniel Durant,Britt Stewart,0.9964
31,9,6,Wayne Brady,Witney Carson,0.0196
31,9,11,Charli D'Amelio,Mark Ballas,0.0
31,9,14,Shangela,Gleb Savchenko,0.0156
31,9,15,Gabby Windey,Valentin Chmerkovskiy,0.0
31,10,6,Wayne Brady,Witney Carson,0.0
